id,year,mode,language,finweigh,general,stpvnbrd,swcndnbrd,cityligh,wtrswr,water,sewer,swclnbrd,stclnbrd,stswc,recparsy,parkvis,athfield,recpart,parkfa,recpract,parkgr,parklp,parkcl,libsystm,libmai,libbra,libonlin,libbo,onlibsvc,netlibsvc,libsta,conmalib,connelib,trspwlk,trsppub,trspbike,trsptaxi,trspdaln,trspcpl,trspptns,trspuber,munovr,mun12mth,muntim,muncle,munsaf,munmgmtcro,muncou,safdnb,safnnb,hrd311,cont311,use311sv,info311,infowebm,svc311,svcwebmo,phone311,web311,kids,k0to5,k6to18,kprisch,kpubsch,knosch,kqschl,dhouse,ownrenhm,dlivedsf,movesf,dincome,dage,gender,dsexornt,dethnic,primlang_1,primlang_2,primlang_3,primlang_4,deduc,disablephys,disablement,zipcode,district,mixed_1,mixed_2,mixed_3,mixed_4,issue1,issue2,issue3
201711783,2017,1,1,1.779706955,3,5,5,5,,5,5,,,5,5,5,7,2,,,,5,5,5,2,2,1,5,,6,5,5,6,,,,,,,,,4,1,4,4,4,4,4,5,5,1,1,1,,,,,,,2,,,,,,,2,2,4,4,5,2,2,3,4,1,,,,2,2,2,94121,9,,,,,700,,
201711784,2017,1,1,0.871954024,2,3,4,3,,5,3,,,3,1,5,3,1,4,3,,2,2,4,2,5,1,5,,5,5,4,4,,,,,,,,,5,1,4,4,3,4,4,1,1,1,2,1,,,,,1,,1,2,1,2,1,2,1,4,1,4,1,5,4,2,3,1,1,,,,4,2,2,94124,10,,,,,901,900,
201711785,2017,1,1,0.707617998,4,,,,,,,,,,4,4,5,2,,,,5,5,3,1,1,1,,,,,,,5,2,1,1,6,1,1,3,5,1,5,4,3,5,4,4,3,1,1,1,,,,,,,2,,,,,,,2,1,6,4,5,7,2,3,4,1,,,,3,2,2,94112,11,,,,,9999,,
201711786,2017,1,1,0.780640006,4,5,4,5,,4,3,,,5,4,5,5,1,4,5,,5,5,3,3,3,2,4,4,5,3,4,5,,,,,,,,,4,1,4,4,4,2,4,,,1,3,1,,,,,4,,2,,,,,,,1,2,6,3,4,5,1,3,4,1,,,,3,1,2,94122,5,,,,,706,5,
201711787,2017,1,1,1.779706955,3,3,6,4,,5,4,,,3,5,5,7,2,,,,4,4,4,1,1,1,,,,,,,,,,,,,,,4,1,3,3,3,2,3,,,2,,,,,,,,,2,,,,,,,2,2,1,4,5,2,1,3,9,1,3,,,4,2,2,94108,3,,,,,401,,
201711788,2017,1,1,1.779706955,5,3,3,5,,5,5,,,3,4,4,4,2,,,,4,3,7,2,2,2,5,5,5,5,5,5,,,,,,,,,4,1,5,3,5,4,3,4,2,1,1,1,,,,,,,2,,,,,,,2,2,2,2,6,2,1,3,4,1,,,,4,2,2,94102,6,,,,,400,,
201711789,2017,1,1,0.780640006,4,,,,,,,,,,4,1,,2,,,,,,5,1,5,1,5,,6,5,,5,4,5,1,1,2,2,1,1,5,1,4,4,5,4,5,,,1,1,1,,,,,,,2,,,,,,,2,2,6,3,2,5,1,3,4,1,,,,3,1,1,94117,5,,,,,100,402,101
201711790,2017,1,1,1.779706955,4,2,4,4,,4,5,,,2,4,4,7,1,4,7,,4,4,5,1,2,1,5,,5,5,,5,,,,,,,,,4,1,3,4,4,2,4,,,1,1,1,,,,,,,1,1,2,,,,,5,2,4,2,3,2,2,3,2,1,,,,3,2,2,94112,7,,,,,401,,
201711791,2017,1,1,0.707617998,4,,,,,,,,,,5,5,7,2,,,,5,5,5,1,3,3,5,5,5,5,,5,5,3,1,2,5,1,1,1,4,1,4,5,5,4,5,,,1,1,1,,,,,,,2,,,,,,,2,1,6,3,5,7,2,3,4,1,,,,4,2,2,94131,7,,,,,100,102,
201711792,2017,1,1,0.933275998,4,,,,,,,,,,5,5,5,2,,,,5,5,7,1,1,1,,,,,,,6,6,4,1,1,1,1,5,4,1,3,4,5,3,5,5,5,2,,,,,,,,,2,,,,,,,6,2,3,2,7,3,1,3,4,1,,,,4,2,2,94123,2,,,,,402,,
201711793,2017,1,1,0.707617998,4,,,,,,,,,,4,5,7,2,,,,3,4,7,1,1,1,,,,,,,6,2,1,1,4,5,1,1,4,1,4,3,4,4,4,5,4,2,,,,,,,,,2,,,,,,,1,2,6,4,5,7,1,1,4,1,,,,4,2,2,94118,1,,,,,400,401,402
201711794,2017,1,1,1.779706955,4,2,2,2,,5,3,,,2,3,5,2,1,4,4,,4,4,5,2,5,5,5,4,4,5,5,5,,,,,,,,,1,1,3,1,1,2,2,,,1,3,2,,,,,5,4,2,,,,,,,3,1,6,4,5,2,2,3,5,1,,,,4,2,2,94134,9,,,,,401,306,101
201711795,2017,1,1,0.871954024,4,,,,,,,,,,3,5,4,2,,,,4,3,7,1,1,1,,,,,,,3,1,1,1,6,6,1,6,2,1,2,3,3,2,3,,,1,2,1,,,,,3,,1,1,1,2,1,2,4,6,1,6,1,6,4,2,3,2,1,,,,4,2,2,94109,5,,,,,401,,
201711796,2017,1,1,0.933275998,4,2,4,5,,5,5,,,2,5,5,5,2,,,,5,4,5,3,3,3,5,5,5,5,5,5,,,,,,,,,5,1,5,5,5,4,5,4,4,2,,,,,,,,,1,1,2,,,,,4,2,3,1,5,3,1,3,4,1,,,,4,2,2,94110,9,,,,,6,303,300
201711797,2017,1,1,0.790762007,3,3,4,4,,4,4,,,3,7,3,4,2,,,,4,4,5,1,1,1,,,,,,,,,,,,,,,5,1,4,3,4,3,5,,,2,,,,,,,,,2,,,,,,,1,1,6,4,5,6,1,3,1,1,,,,4,1,1,94124,10,,,,,400,402,
201711798,2017,1,1,0.933275998,4,,,,,,,,,,5,4,3,1,3,3,,4,4,7,1,1,1,,,,,,,6,6,1,1,1,1,1,4,3,1,4,2,3,3,3,4,3,2,,,,,,,,,1,1,2,,,,,3,2,1,2,5,3,1,3,4,31,,,,4,2,2,94114,8,,,,,100,301,400
201711799,2017,1,1,0.871954024,3,,,,,,,,,,3,5,4,2,,,,5,5,5,1,1,1,,,,,,,6,6,1,2,2,1,1,2,4,1,4,2,3,3,3,,,1,2,1,,,,,5,,2,,,,,,,1,2,5,4,2,4,1,1,10,1,,,,2,1,1,94109,6,1,6,,,100,,
201711800,2017,1,1,0.707617998,3,,,,,,,,,,5,2,2,1,4,4,,4,5,4,2,4,2,4,4,4,5,5,4,4,4,1,3,4,1,2,3,5,1,5,5,5,4,5,3,4,2,,,,,,,,,2,,,,,,,3,1,4,4,6,7,1,3,1,1,,,,4,2,2,94112,11,,,,,504,,
201711801,2017,1,1,1.779706955,3,3,5,3,,5,4,,,3,5,4,4,2,,,,4,4,3,2,1,1,5,,3,5,4,,,,,,,,,,4,1,5,1,3,4,4,4,4,2,,,,,,,,,2,,,,,,,6,2,1,3,8,2,1,3,4,1,,,,4,2,2,94110,9,,,,,100,,
201711802,2017,1,1,0.780640006,3,,,,,,,,,,4,4,5,1,3,7,,5,4,4,1,4,3,3,3,6,4,,4,5,4,2,2,6,2,1,2,4,1,2,4,3,3,3,,,1,1,2,,,,,,4,2,,,,,,,1,1,5,4,6,5,1,2,2,1,,,,4,2,2,94131,8,,,,,400,,
201711803,2017,1,1,0.871954024,4,4,4,4,,5,5,,,4,4,3,3,2,,,,4,4,7,1,1,1,,,,,,,,,,,,,,,3,1,3,2,4,2,4,,,2,,,,,,,,,2,,,,,,,2,1,5,4,7,4,2,1,1,1,,,,4,2,2,94112,11,,,,,100,400,
201711804,2017,1,1,0.707617998,3,,,,,,,,,,3,5,7,2,,,,4,4,7,1,1,1,,,,,,,4,2,1,2,5,1,1,1,4,1,3,4,4,3,4,4,4,1,4,1,,,,,4,,2,,,,,,,3,1,6,4,6,7,1,3,3,1,,,,3,1,1,94122,4,,,,,100,,
201711805,2017,1,1,0.707617998,3,3,4,5,,5,4,,,3,7,1,,2,,,,,,5,1,1,1,,,,,,,,,,,,,,,4,2,,,,,,5,3,2,,,,,,,,,2,,,,,,,2,1,6,4,7,7,2,3,5,3,,,,4,2,2,94124,10,,,,,100,,
201711806,2017,1,1,0.871954024,2,3,4,4,,5,4,,,3,5,4,4,2,,,,4,3,4,1,2,1,4,,6,5,,5,,,,,,,,,2,1,4,3,2,3,3,,,1,1,1,,,,,,,1,2,1,2,2,1,5,3,1,5,4,7,4,2,3,4,1,,,,4,2,2,94118,1,,,,,901,902,
201711807,2017,1,1,0.933275998,4,,,,,,,,,,5,3,7,1,4,4,,5,4,4,2,3,1,4,,5,5,4,5,5,4,5,2,4,4,1,1,3,1,4,4,4,3,5,3,4,1,2,1,,,,,4,,2,,,,,,,2,2,6,2,2,3,1,3,10,1,,,,2,2,2,94133,3,5,4,,,702,704,
201711808,2017,1,1,0.933275998,4,,,,,,,,,,4,4,2,2,,,,4,4,5,1,4,4,4,4,5,5,,5,6,2,1,2,6,1,1,5,2,1,3,3,5,1,5,,,1,2,1,,,,,5,,1,1,1,2,1,1,4,4,1,4,3,7,3,1,5,9,1,,,,4,2,2,94127,7,,,,,6,303,
201711809,2017,1,1,0.871954024,1,,,,,,,,,,4,5,4,1,4,7,,5,3,7,1,1,1,,,,,,,6,4,1,2,5,1,1,5,2,1,1,4,5,1,4,,,2,,,,,,,,,2,,,,,,,2,1,5,4,6,4,1,3,5,1,,,,4,2,2,94122,5,,,,,100,106,
201711810,2017,1,1,0.871954024,2,,,,,,,,,,4,3,3,2,,,,3,3,4,3,3,2,4,3,3,4,4,4,6,6,1,3,3,1,1,1,2,1,2,1,3,1,3,,,1,3,2,,,,,3,3,2,,,,,,,1,2,5,1,4,4,1,3,10,1,,,,3,2,2,94109,3,,,,,6,300,
201711811,2017,1,1,1.779706955,4,4,4,4,,3,5,,,4,4,5,3,2,,,,4,3,5,1,4,2,4,5,5,5,,4,,,,,,,,,1,1,3,1,2,2,2,5,4,1,3,1,,,,,2,,1,1,2,,,,,4,2,5,2,8,2,2,6,10,1,,,,2,2,2,94124,10,4,5,,,901,,
201711812,2017,1,1,0.933275998,4,4,5,5,,4,5,,,4,5,4,4,2,,,,3,3,4,1,3,3,4,4,6,4,,4,,,,,,,,,3,1,3,3,4,3,4,5,4,1,1,2,,,,,,6,2,,,,,,,1,2,3,1,6,3,2,3,4,1,,,,4,2,2,94123,2,,,,,100,,
201711813,2017,1,1,1.779706955,3,,,,,,,,,,4,4,4,1,4,4,,4,3,3,4,4,5,4,5,5,5,3,3,6,6,1,1,1,1,1,4,4,1,4,4,4,3,4,,,1,2,1,,,,,5,,1,2,1,2,2,1,4,2,2,4,3,2,2,2,3,1,35,,,,4,2,2,94109,6,,,,,100,,
