year,zipcode,dage,dethnic,dlivedsf,deduc,dincome,movesf,ownrenhm,City,State,AvePrice,Lat,Lng
2017,94124,6,4,4,2,2,1,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,2,5,5,4,4,2,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,7,2,5,1,2,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,1,10,5,3,3,2,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,3,10,6,2,5,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,5,10,6,3,1,6,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,3,2,4,2,6,2,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,2,5,1,1,2,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,3,5,4,1,2,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,5,1,6,2,8,3,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,4,2,5,4,5,4,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,7,1,6,2,8,3,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,2,5,5,3,4,2,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,2,1,5,3,2,2,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,2,1,6,2,3,2,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,3,10,3,1,4,1,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,5,1,6,1,1,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,4,1,6,2,5,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,3,4,5,2,1,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,5,1,6,2,3,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,6,1,6,3,6,1,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,6,10,6,4,6,3,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,5,10,6,3,6,4,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,1,5,4,2,5,1,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
